action,artist_folder,title,old_path,new_path,reason
would_move,"jigs lacre",untitled,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Basang-basa Sa Ulan- Aegis.kar","/storage/emulated/0/htdocs/midisnd/jigs lacre/untitled - jigs lacre.kar",
skip_no_artist,,CLAVINET,/storage/emulated/0/htdocs/midisnd/midi/karfromFB/bestfri.mid,,"no artist meta"
skip_no_artist,,"Gintong Araw","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bing Rodrigo - Gintong Araw.kar",,"no artist meta"
would_move,"Rob Ingham","General MIDI Authoring Template",/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Boyzone_-_No_matter_what.kar,"/storage/emulated/0/htdocs/midisnd/Rob Ingham/General MIDI Authoring Template - Rob Ingham.kar",
would_move,Grillo,"Lucky by Britney Spears","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Britney Spears - Lucky.kar","/storage/emulated/0/htdocs/midisnd/Grillo/Lucky by Britney Spears - Grillo.kar",
would_move,"Raphael Pungin","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bryan Adams - Heaven.kar","/storage/emulated/0/htdocs/midisnd/Raphael Pungin/Soft Karaoke - Raphael Pungin.kar",
skip_no_artist,,"Please Forgive Me","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Bryan Adams - Please Forgive Me.kar",,"no artist meta"
would_move,"FranCesca (Mataró, 1998)","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Celine Dion - My Heart Will Go On.kar","/storage/emulated/0/htdocs/midisnd/FranCesca (Mataró, 1998)/Soft karaoke - FranCesca (Mataró, 1998).kar",
skip_no_artist,,"CHRISTMAS ALPHABET","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/CHRISTMAS ALPHABET.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Christmas Song - Have Yourself A Merry Little Christmas 2.kar",,"no artist meta"
skip_no_artist,,"O HOLY NIGHT (CANTIQUE DE NOEL)","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Christmas Song - O Holy Night.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Christmas Song - We Wish You A Merry Christmas.kar",,"no artist meta"
would_move,"D Aston","Longer Than","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Dan Fogelberg - Longer Than.kar","/storage/emulated/0/htdocs/midisnd/D Aston/Longer Than - D Aston.kar",
skip_no_artist,,"Di Ba't lkaw","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Di Ba't Ikaw - Jessa Zaragoza.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Do You Hear What I Hear_Christmas - .kar",,"no artist meta"
would_move,"Raphael Pungin (raphael@cnct.com)","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Earth Wind & Fire - Boogie Wonderland.kar","/storage/emulated/0/htdocs/midisnd/Raphael Pungin (raphael@cnct.com)/Soft Karaoke - Raphael Pungin (raphael@cnct.com).kar",
skip_no_artist,,"Freddie Aguilar - Estudyante Blues","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Estudyante Blues-Freddie Aguilar.kar",,"no artist meta"
skip_no_artist,,"MANO PO NINONG,MANO PO NINANG","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Eva Eugenio - Mano Po Ninong, Mano Po Ninang.kar",,"no artist meta"
skip_no_artist,,TUKSO,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Eva Eugenio - Tukso.kar",,"no artist meta"
would_move,So,KASA,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Find Us Faithful -Gospel.kar","/storage/emulated/0/htdocs/midisnd/So/KASA - So.kar",
skip_no_artist,,"STITCHES AND BURN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Fra Lippo Lippi - Stitches And Burns.kar",,"no artist meta"
skip_no_artist,,"GAANO KADALAS ANG MINSAN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Gaano Kadalas Ang Minsan - Basil Valdez.kar",,"no artist meta"
skip_no_artist,,"GILIW KO","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Giliw Ko- April Boy Regino.kar",,"no artist meta"
skip_no_artist,,KASA,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Glorified -Gospel.kar",,"no artist meta"
skip_no_artist,,KASA,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/God Is Great -Gospel.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Guns 'N Roses - Paradise City.kar",,"no artist meta"
skip_no_artist,,"HAHANAPIN KO","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Hahanapin - Ko Anthony Castelo.kar",,"no artist meta"
skip_no_artist,,melody,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/HALELUYAH - Bamboo.kar",,"no artist meta"
skip_no_artist,,HALIK,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Halik- Aegis.kar",,"no artist meta"
skip_no_artist,,"HANGGANG SA DULO NG WALANG HANGGAN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Hanggang Sa Dulo Ng Walang Hanggan - Basil Valdez.kar",,"no artist meta"
would_move,Fred,"Howdy You'all","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Hank Williams - Jambalaya.kar","/storage/emulated/0/htdocs/midisnd/Fred/Howdy You'all - Fred.kar",
would_move,"Blake Wallace - kar by Mike M","Barracuda by HEART","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Heart - Barracuda.kar","/storage/emulated/0/htdocs/midisnd/Blake Wallace - kar by Mike M/Barracuda by HEART - Blake Wallace - kar by Mike M.kar",
skip_no_artist,,"HIMIG PASKO","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/HIMIG PASKO- apo hiking society.kar",,"no artist meta"
skip_no_artist,,"HINDI AKO IIYAK","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Hindi Ako Iiyak- The Flippers.kar",,"no artist meta"
skip_no_artist,,"WHITE CHRISTMAS","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/I Berlin - White Christmas.kar",,"no artist meta"
skip_no_artist,,"HINDI AKO IIYAK","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Hindi Ako Iiyak v.2- The Flippers.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/I Saw Mommy Kissing Santa Claus - Traditional Christmas.kar",,"no artist meta"
skip_no_artist,,"IBANG-IBA KA NA","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/ibang-iba Kana Nga- Renz Verano.kar",,"no artist meta"
skip_no_artist,,,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Ikaw -Yeng Constantino.kar",,"no artist meta"
skip_no_artist,,IPAGPATAWAD,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Ipagpatawad Mo - VST and Company.kar",,"no artist meta"
skip_no_artist,,"VOICE - FLUTE",/storage/emulated/0/htdocs/midisnd/midi/karfromFB/IWantToBreakFree.mid,,"no artist meta"
would_move,"Cowon MacLeod","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/John Lennon - Happy Xmas (War Is Over).kar","/storage/emulated/0/htdocs/midisnd/Cowon MacLeod/Soft karaoke - Cowon MacLeod.kar",
skip_no_artist,,untitled,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/John Lennon - X-Mas.kar",,"no artist meta"
skip_no_artist,,"FELIZ NAVIDAD","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Jose Feliciano - Feliz Navidad.kar",,"no artist meta"
skip_no_artist,,"JUBILEE SONG","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Jubilee Song - Jamie Rivera.kar",,"no artist meta"
skip_no_artist,,"Kabiugan Ng Buwan","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Kabilugan Ng Buwan- Apo Hiking Society.kar",,"no artist meta"
skip_no_artist,,"Kami Po'y Paskohan","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Kami Po'y Paskohan - The New Minstrels.kar",,"no artist meta"
would_move,"ChartChai MeeSangNin (jeridu@yahoo.com)","Kenny Rogers-Through the Years","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Kenny Rogers - Through The Years.kar","/storage/emulated/0/htdocs/midisnd/ChartChai MeeSangNin (jeridu@yahoo.com)/Kenny Rogers - Through the Years - ChartChai MeeSangNin (jeridu@yahoo.com).kar",
skip_no_artist,,untitled,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Kumusta Ka.kar",,"no artist meta"
skip_no_artist,,,/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Laura_Brannigan_-_Gloria.mid,,"no artist meta"
would_move,Marcos,"(C) KarMaker - UNREGISTERED VER","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Linkin' Park - Crawling.kar","/storage/emulated/0/htdocs/midisnd/Marcos/(C) KarMaker - UNREGISTERED VER - Marcos.kar",
would_move,Marcos,"(C) KarMaker - UNREGISTERED VER","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Linkin' Park - In The End.kar","/storage/emulated/0/htdocs/midisnd/Marcos/(C) KarMaker - UNREGISTERED VER - Marcos.kar",
would_move,Marcos,"(C) KarMaker - UNREGISTERED VER","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Linkin' Park - One Step Closer.kar","/storage/emulated/0/htdocs/midisnd/Marcos/(C) KarMaker - UNREGISTERED VER - Marcos.kar",
skip_no_artist,,"Love Story","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Love Story- Taylor Swift.kar",,"no artist meta"
skip_no_artist,,LUHA,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Luha- Aegis.kar",,"no artist meta"
would_move,sowi,untitled,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/luha(kabet version).kar","/storage/emulated/0/htdocs/midisnd/sowi/untitled - sowi.kar",
skip_no_artist,,,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/M2M - Mirror.kar",,"no artist meta"
skip_no_artist,,"MALIGAYANG PASKO AT","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Maligayang Pasko At Manigong Bagong Taon.kar",,"no artist meta"
skip_no_artist,,"MANO PO NINONG,MANO PO NINANG","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/MANO PO NINONG-MANO PO NINANg.kar",,"no artist meta"
skip_no_artist,,"JUST ANOTHER WOMAN IN LOVE","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/MANOK NA PULA.kar",,"no artist meta"
would_move,"Raphael Pungin","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Mariah Carey - Hero.kar","/storage/emulated/0/htdocs/midisnd/Raphael Pungin/Soft Karaoke - Raphael Pungin.kar",
skip_no_artist,,"MARUPOK NA SUMPA","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Marupok Na Sumpa - Larry Miranda.kar",,"no artist meta"
would_move,"Christian Scarpellini delpy@freenet.hut.fi","(december 1996) *** Visit my Web Page!!!","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Metallica - Nothing Else Matters.kar","/storage/emulated/0/htdocs/midisnd/Christian Scarpellini delpy@freenet.hut.fi/(december 1996) Visit my Web Page!!! - Christian Scarpellini delpy@freenet.hut.fi.kar",
skip_no_artist,,MINDANAO,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Mindanao-Freddie Aguilar.kar",,"no artist meta"
skip_no_artist,,,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Modern Talking - Medley.kar",,"no artist meta"
skip_no_artist,,"MULI MONG MAHALIN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Muli mong mahalin-April Boy Regino.kar",,"no artist meta"
would_move,Japol,"Noypi by Bamboo - Transcribed by Japol Naragdao","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/N0YPI - Bamboo.kar","/storage/emulated/0/htdocs/midisnd/Japol/Noypi by Bamboo - Transcribed by Japol Naragdao - Japol.kar",
skip_no_artist,,Namamasko,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Namamasko .kar",,"no artist meta"
would_move,"MannyLA of Long Beach, California","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Nandito Ako - Ogie Alcasid.kar","/storage/emulated/0/htdocs/midisnd/MannyLA of Long Beach, California/Soft Karaoke - MannyLA of Long Beach, California.kar",
skip_no_artist,,"NANDITO AKO","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Nandito Ako- Lea Salonga.kar",,"no artist meta"
skip_no_artist,,NAPUPUYAT,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Napupuyat-Freddie Aguilar.kar",,"no artist meta"
skip_no_artist,,"TORN - Natalie Imbruglia","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Natalie Imbruglia - Torn.kar",,"no artist meta"
skip_no_artist,,"NGAYON AT KAILAN MAN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Ngayon At Kailan Man - Basil Valdez.kar",,"no artist meta"
skip_no_artist,,"Finger Bass","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/NOSI BALASI - Sampaguita.kar",,"no artist meta"
would_move,"Alan Tyrrell - kar by Mike M (October 2000)","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/N'Sync - This I Promise You.kar","/storage/emulated/0/htdocs/midisnd/Alan Tyrrell - kar by Mike M (October 2000)/Soft karaoke - Alan Tyrrell - kar by Mike M (October 2000).kar",
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Olivia Newton-John - Hopelessly Devoted To You.kar",,"no artist meta"
skip_no_artist,,"PASKO NA NAMAN","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Pasko Na Naman - Janet Basco.kar",,"no artist meta"
skip_no_artist,,"PASKO NA SINTA KO","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/PASKO NA SINTA KO - Gary Valenciano.kar",,"no artist meta"
skip_no_artist,,"SANA'Y LAGING MAKAPILING","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Sana'y Laging Magkapiling- April Boy Regino.kar",,"no artist meta"
would_move,"Fabio Bui","I Knew I Loved You","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Savage Garden - I Knew I Loved You.kar","/storage/emulated/0/htdocs/midisnd/Fabio Bui/I Knew I Loved You - Fabio Bui.kar",
would_move,"Deb Ackley, 11 29 98","You've Got A Way, by Shania Twain and R.J. Lange","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Shania Twain - You've Got A Way.kar","/storage/emulated/0/htdocs/midisnd/Deb Ackley, 11 29 98/You've Got A Way, by Shania Twain and R.J. Lange - Deb Ackley, 11 29 98.kar",
would_move,"Patrick Matte","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/SinÃ©ad O'Connor - Nothing Compares 2 U.kar","/storage/emulated/0/htdocs/midisnd/Patrick Matte/Soft Karaoke - Patrick Matte.kar",
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Styx - Boat On The River.kar",,"no artist meta"
would_move,"Belmar Sr. Gabatin",Sundo-Moira,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Sundo - Moira Dela Torre.kar","/storage/emulated/0/htdocs/midisnd/Belmar Sr. Gabatin/Sundo - Moira - Belmar Sr. Gabatin.kar",
would_move,"Uwe Trempelmann","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/The Bangles - Manic Monday.kar","/storage/emulated/0/htdocs/midisnd/Uwe Trempelmann/Soft karaoke - Uwe Trempelmann.kar",
would_move,"Anthony Hosking","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/The Carpenters - For All We Know.kar","/storage/emulated/0/htdocs/midisnd/Anthony Hosking/Soft karaoke - Anthony Hosking.kar",
would_move,"The Corrs MIDI Archive - kar by Mike M","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/The Corrs - So Young.kar","/storage/emulated/0/htdocs/midisnd/The Corrs MIDI Archive - kar by Mike M/Soft karaoke - The Corrs MIDI Archive - kar by Mike M.kar",
would_move,deus@thepentagon.com,"Boom boom boom boom","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Vengaboys - Boom Boom Boom Boom.kar","/storage/emulated/0/htdocs/midisnd/deus@thepentagon.com/Boom boom boom boom - deus@thepentagon.com.kar",
would_move,"Martin Mc Parland","Fool Again","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Westlife - Fool Again.kar","/storage/emulated/0/htdocs/midisnd/Martin Mc Parland/Fool Again - Martin Mc Parland.kar",
would_move,Westlife,"I Lay My Love On You","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Westlife - I Lay My Love On You.kar","/storage/emulated/0/htdocs/midisnd/Westlife/I Lay My Love On You - Westlife.kar",
would_move,"Mr KarPlay","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Westlife - Seasons In The Sun.kar","/storage/emulated/0/htdocs/midisnd/Mr KarPlay/Soft karaoke - Mr KarPlay.kar",
skip_no_artist,,BLUE_XMSe0,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Blue Christmas.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Chestnuts Roasting.kar",,"no artist meta"
would_move,"Various Artists  Dickie Valentine, Andrew Sisters, Jimmy Buffett, Leon Redbone","Christmas Island","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Christmas Island.kar","/storage/emulated/0/htdocs/midisnd/Various Artists  Dickie Valentine, Andrew Sisters, Jimmy Buffett, Leon Redbone/Christmas Island - Various Artists Dickie Valentine, Andrew Sisters, Jimmy Buffett, Leon Redbone.kar",
skip_no_artist,,Conduct,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Easter.kar",,"no artist meta"
would_move,"Les Herrman","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Frosty The Snow Man.kar","/storage/emulated/0/htdocs/midisnd/Les Herrman/Soft Karaoke - Les Herrman.kar",
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Good King Wenceslas.kar",,"no artist meta"
would_move,"a Reindeer","Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Grandma Got Run Over By A Reindeer.kar","/storage/emulated/0/htdocs/midisnd/a Reindeer/Soft karaoke - a Reindeer.kar",
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Have Yourself A Merry Little Christmas.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Here Comes Santa Claus.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Jingle Bell Rock.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Joy To The World.kar",,"no artist meta"
skip_no_artist,,"Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Let It Snow, Let It Snow.kar",,"no artist meta"
would_move,"Johnny Marks","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/X - Christmas - Rudolph The Red-Nosed Reindeer.kar","/storage/emulated/0/htdocs/midisnd/Johnny Marks/Soft Karaoke - Johnny Marks.kar",
would_move,"Raphael Pungin","Soft Karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Peter Cetera - Glory Of Love.kar","/storage/emulated/0/htdocs/midisnd/Raphael Pungin/Soft Karaoke - Raphael Pungin.kar",
would_move,notorazr,"PIZZA PIE","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Picha Pie - Parokya Ni Edgar.kar","/storage/emulated/0/htdocs/midisnd/notorazr/PIZZA PIE - notorazr.kar",
skip_no_artist,,"Sayang na sayang ( Aegis )","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Sayang Na Sayang- Aegis.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Semisonic - Closing Time.kar",,"no artist meta"
skip_no_artist,,"Soft karaoke","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Sergio Mendez - Never Gonna Let You Go.kar",,"no artist meta"
would_move,"H.de Koning","You're still the one (Shania Twain)","/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Shania Twain - You're Still The One.kar","/storage/emulated/0/htdocs/midisnd/H.de Koning/You're still the one (Shania Twain) - H.de Koning.kar",
would_move,"Moira Dela Torre",Words,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/tagpuan by Moira Dela Torre.kar","/storage/emulated/0/htdocs/midisnd/Moira Dela Torre/Words - Moira Dela Torre.kar",
skip_no_artist,,Melody,"/storage/emulated/0/htdocs/midisnd/midi/karfromFB/Tala - Sarah Geronimo.kar",,"no artist meta"
